,Unnamed: 0,message,date,sender_id,message_id,channel,cleaned_message,sentiment,sentiment_category,hashtags,keywords
1,1,"**TODAY FII&DII DATA:- 06-12-2024

FII SELL NET 👉 1830.31 Cr.🔻

DII BUY NET 👉 1659.06 Cr. ☘

NET SELLING :-  171.25 Cr. 🔴**",2024-12-06 14:27:23+00:00,-1001923600221,19268,https://t.me/Zero_to_hero_sr_stocks_nifty_505,today fiidii data 06122024fii sell net  183031 crdii buy net  165906 cr net selling  17125 cr ,0.0,neutral,[],"['sell', 'buy']"
17,17,"**इतना भा क्या सोच रहे हो जितना आपका 1 दिन का लॉस है उसे सस्ता मेरा INVEST ग्रुप का फीस  है तो फटाफट ज्वाइन कर लो आपकी जर्नी आज से ही चालू हो जाएगी 🥳🥳🥳🥳🥳💯💯💯

और आप आज ज्वाइन करोगे तो आपको आज के आज ही आपका फीस का 3 गुना रिकवर करके देंगे हंड्रेड परसेंट गारंटी देता हूं 🥳🥳

Join click on 🔗 INDEX

INVEST 👇👇👇

**https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*
**
**https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR***

STOCK OPTIONS 👇👇👇

**https://wa.me/+916378809418/?text=*HELLO-MONEY-INVEST-SIR*",2024-12-06 04:57:29+00:00,-1001923600221,19228,https://t.me/Zero_to_hero_sr_stocks_nifty_505,        1        invest                                3          join click on  indexinvest httpswame916378809418texthellomoneyinvestsirhttpswame916378809418texthellomoneyinvestsirstock options httpswame916378809418texthellomoneyinvestsir,0.296,neutral,[],[]
18,18,"**270 To 320++++ 3rd Target Hit 🎯 🏆📈

Book Your 100% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**",2024-12-06 04:52:20+00:00,-1001923600221,19223,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 320 3rd target hit  book your 100 profit book profit trail stop loss in profit,0.6369,positive,[],['target']
19,19,**270₹ To 320₹ 🏆📈❤️**,2024-12-06 04:52:04+00:00,-1001923600221,19222,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 320 ,0.0,neutral,[],[]
30,30,"**270 To 310++++ 2nd Target Hit 🎯 🏆📈

Book Your 70% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**",2024-12-06 04:48:17+00:00,-1001923600221,19210,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 310 2nd target hit  book your 70 profit book profit trail stop loss in profit,0.6369,positive,[],['target']
31,31,**270₹ To 310₹ 🏆📈❤️**,2024-12-06 04:47:58+00:00,-1001923600221,19209,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 310 ,0.0,neutral,[],[]
32,32,"**270 To 300++++ 1st Target Hit 🎯 🏆📈

Book Your 50% Profit 😍😍🙏❤️


BOOK PROFIT Trail stop loss in profit💐❤️**",2024-12-06 04:47:45+00:00,-1001923600221,19208,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 300 1st target hit  book your 50 profit book profit trail stop loss in profit,0.6369,positive,[],['target']
33,33,**270₹ To 300₹ 🏆📈❤️**,2024-12-06 04:47:29+00:00,-1001923600221,19207,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 300 ,0.0,neutral,[],[]
34,34,**270₹ To 290₹ 🏆📈❤️**,2024-12-06 04:47:24+00:00,-1001923600221,19206,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 290 ,0.0,neutral,[],[]
35,35,**270₹ To 280₹ 🏆📈❤️**,2024-12-06 04:47:21+00:00,-1001923600221,19205,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 280 ,0.0,neutral,[],[]
36,36,**270₹ To 270₹ 🏆📈❤️**,2024-12-06 04:46:52+00:00,-1001923600221,19204,https://t.me/Zero_to_hero_sr_stocks_nifty_505,270 to 270 ,0.0,neutral,[],[]
37,37,"**BANKNIFTY 24 DEC  52000 PE**__

🏛 BUY ABOVE :- __270__

📊 Current Price : __270__


**Target..300//310//320++**

☠️ **Stoploss : PAID**__",2024-12-06 04:45:49+00:00,-1001923600221,19203,https://t.me/Zero_to_hero_sr_stocks_nifty_505,banknifty 24 dec 52000 pe buy above  270 current price  270target300310320 stoploss  paid,0.0,neutral,[],['buy']
38,38,"𝗚𝗢𝗢𝗗 𝗠𝗢𝗥𝗡𝗜𝗡𝗚 𝗔𝗟𝗟 𝗧𝗥𝗔𝗗𝗘𝗥𝗦 ❤️

𝗛𝗔𝗩𝗘 𝗔 𝗚𝗢𝗢𝗗 𝗗𝗔𝗬 𝗧𝗢𝗗𝗔𝗬 😊♥️",2024-12-06 03:29:51+00:00,-1001923600221,19201,https://t.me/Zero_to_hero_sr_stocks_nifty_505,         ,0.0,neutral,[],[]
39,39,"**TODAY FII&DII DATA:- 05-12-2024

FII BUY NET 👉 8539.91 Cr.☘

DII SELL NET 👉 2303.64 Cr. 🔻

NET BUYING :-  6236.27 Cr. 🟢

FIIS की बाइंग को देखकर लग रहा है बॉटम बन गया है।**",2024-12-05 13:57:49+00:00,-1001923600221,19199,https://t.me/Zero_to_hero_sr_stocks_nifty_505,today fiidii data 05122024fii buy net  853991 crdii sell net  230364 cr net buying  623627 cr fiis           ,0.0,neutral,[],"['buy', 'sell']"
40,40,"**BANK NIFTY 👉 280 TO 430 ✅✅ NEW HIGH 

150 POINT DONE IN BANK NIFTY PAPER TRADE STUDY....🙏**

❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",2024-12-05 09:10:04+00:00,-1001923600221,19189,https://t.me/Zero_to_hero_sr_stocks_nifty_505,bank nifty  280 to 430  new high 150 point done in bank nifty paper trade study,0.6597,positive,[],[]
51,51,**280₹ To 380₹ 🏆📈❤️**,2024-12-05 08:04:49+00:00,-1001923600221,19163,https://t.me/Zero_to_hero_sr_stocks_nifty_505,280 to 380 ,0.0,neutral,[],[]
52,52,**280₹ To 370₹ 🏆📈❤️**,2024-12-05 08:04:44+00:00,-1001923600221,19162,https://t.me/Zero_to_hero_sr_stocks_nifty_505,280 to 370 ,0.0,neutral,[],[]
53,53,**280₹ To 360₹ 🏆📈❤️**,2024-12-05 08:04:40+00:00,-1001923600221,19161,https://t.me/Zero_to_hero_sr_stocks_nifty_505,280 to 360 ,0.0,neutral,[],[]
